[[1995-06-25 00:00:00.0,1995-07-02 00:00:00.0],316]
[[1995-06-26 00:00:00.0,1995-07-03 00:00:00.0],612]
[[1995-06-27 00:00:00.0,1995-07-04 00:00:00.0],1141]
[[1995-06-28 00:00:00.0,1995-07-05 00:00:00.0],1504]
[[1995-06-29 00:00:00.0,1995-07-06 00:00:00.0],2004]
[[1995-06-30 00:00:00.0,1995-07-07 00:00:00.0],2649]
[[1995-07-01 00:00:00.0,1995-07-08 00:00:00.0],3221]
[[1995-07-02 00:00:00.0,1995-07-09 00:00:00.0],3207]
[[1995-07-03 00:00:00.0,1995-07-10 00:00:00.0],3259]
[[1995-07-04 00:00:00.0,1995-07-11 00:00:00.0],3130]
[[1995-07-05 00:00:00.0,1995-07-12 00:00:00.0],3238]
[[1995-07-06 00:00:00.0,1995-07-13 00:00:00.0],3212]
[[1995-07-07 00:00:00.0,1995-07-14 00:00:00.0],3101]
[[1995-07-08 00:00:00.0,1995-07-15 00:00:00.0],2945]
[[1995-07-09 00:00:00.0,1995-07-16 00:00:00.0],2897]
[[1995-07-10 00:00:00.0,1995-07-17 00:00:00.0],2806]
[[1995-07-11 00:00:00.0,1995-07-18 00:00:00.0],2814]
[[1995-07-12 00:00:00.0,1995-07-19 00:00:00.0],2827]
[[1995-07-13 00:00:00.0,1995-07-20 00:00:00.0],2994]
[[1995-07-14 00:00:00.0,1995-07-21 00:00:00.0],2891]
[[1995-07-15 00:00:00.0,1995-07-22 00:00:00.0],2809]
[[1995-07-16 00:00:00.0,1995-07-23 00:00:00.0],2749]
[[1995-07-17 00:00:00.0,1995-07-24 00:00:00.0],2725]
[[1995-07-18 00:00:00.0,1995-07-25 00:00:00.0],2652]
[[1995-07-19 00:00:00.0,1995-07-26 00:00:00.0],2636]
[[1995-07-20 00:00:00.0,1995-07-27 00:00:00.0],2335]
[[1995-07-21 00:00:00.0,1995-07-28 00:00:00.0],2245]
[[1995-07-22 00:00:00.0,1995-07-29 00:00:00.0],2005]
[[1995-07-23 00:00:00.0,1995-07-30 00:00:00.0],1811]
[[1995-07-24 00:00:00.0,1995-07-31 00:00:00.0],1578]
[[1995-07-25 00:00:00.0,1995-08-01 00:00:00.0],1243]
[[1995-07-26 00:00:00.0,1995-08-02 00:00:00.0],775]
[[1995-07-27 00:00:00.0,1995-08-03 00:00:00.0],435]
[[1995-07-28 00:00:00.0,1995-08-04 00:00:00.0],94]
